token,경주빈도,전주빈도,빈도합,경주비율,전주비율
한옥마을,0,304,304,0.0,100.0
일상,295,0,295,100.0,0.0
고고학,292,0,292,100.0,0.0
맛집,41,163,204,20.1,79.9
알라딘,137,54,191,71.7,28.3
코스,80,91,171,46.8,53.2
공원,10,141,151,6.6,93.4
한옥,35,102,137,25.5,74.5
마을,40,89,129,31.0,69.0
시간,47,79,126,37.3,62.7
투어,64,59,123,52.0,48.0
자평,112,10,122,91.8,8.2
박물관,15,105,120,12.5,87.5
지음,96,20,116,82.8,17.2
평점,92,20,112,82.1,17.9
역사,80,30,110,72.7,27.3
카페,46,57,103,44.7,55.3
불국사,103,0,103,100.0,0.0
고양이,96,0,96,100.0,0.0
경북,94,0,94,100.0,0.0
황윤,91,0,91,100.0,0.0
시리즈,91,0,91,100.0,0.0
개정,86,0,86,100.0,0.0
증보판,86,0,86,100.0,0.0
덕진,0,80,80,0.0,100.0
완산,0,80,80,0.0,100.0
비빔밥,0,80,80,0.0,100.0
황리,80,0,80,100.0,0.0
호텔,55,20,75,73.3,26.7
야경,74,0,74,100.0,0.0
첨성대,68,0,68,100.0,0.0
전북,0,67,67,0.0,100.0
추천,25,41,66,37.9,62.1
조선,0,65,65,0.0,100.0
사진,24,39,63,38.1,61.9
이야기,50,13,63,79.4,20.6
시장,5,57,62,8.1,91.9
체험,10,52,62,16.1,83.9
구경,20,40,60,33.3,66.7
생각,35,25,60,58.3,41.7
한국,5,52,57,8.8,91.2
가을,42,15,57,73.7,26.3
연꽃,1,55,56,1.8,98.2
신라,56,0,56,100.0,0.0
방문,21,34,55,38.2,61.8
가족,25,30,55,45.5,54.5
산책,15,39,54,27.8,72.2
이번,24,29,53,45.3,54.7
대릉원,52,0,52,100.0,0.0
문화,4,47,51,7.8,92.2
거리,25,26,51,49.0,51.0
석굴암,50,0,50,100.0,0.0
필수,5,45,50,10.0,90.0
우리,37,10,47,78.7,21.3
식당,6,41,47,12.8,87.2
버스,31,16,47,66.0,34.0
점심,30,16,46,65.2,34.8
벚꽃,36,10,46,78.3,21.7
오늘,36,9,45,80.0,20.0
서울,20,25,45,44.4,55.6
시작,30,15,45,66.7,33.3
터미널,17,28,45,37.8,62.2
본향,0,45,45,0.0,100.0
추억,7,36,43,16.3,83.7
보문,40,0,40,100.0,0.0
숙소,25,15,40,62.5,37.5
도착,25,15,40,62.5,37.5
후백제,0,40,40,0.0,100.0
부채,0,40,40,0.0,100.0
수학,38,0,38,100.0,0.0
시외버스,17,21,38,44.7,55.3
친구,17,21,38,44.7,55.3
계획,10,27,37,27.0,73.0
월지,37,0,37,100.0,0.0
위치,30,7,37,81.1,18.9
현대,25,11,36,69.4,30.6
남부,0,36,36,0.0,100.0
유적지,26,10,36,72.2,27.8
안압지,36,0,36,100.0,0.0
주차장,25,10,35,71.4,28.6
하늘,25,10,35,71.4,28.6
기차,30,5,35,85.7,14.3
아침,14,21,35,40.0,60.0
주상,35,0,35,100.0,0.0
풍경,23,12,35,65.7,34.3
기대,15,20,35,42.9,57.1
호수,5,30,35,14.3,85.7
장소,15,20,35,42.9,57.1
갈비,5,30,35,14.3,85.7
칠봉,0,35,35,0.0,100.0
저녁,15,20,35,42.9,57.1
아이,30,5,35,85.7,14.3
국내,19,15,34,55.9,44.1
사람,22,12,34,64.7,35.3
근처,8,25,33,24.2,75.8
동궁,32,0,32,100.0,0.0
도시,5,27,32,15.6,84.4
명소,2,30,32,6.2,93.8
전화,22,10,32,68.8,31.2
행복,27,5,32,84.4,15.6
다음,15,17,32,46.9,53.1
소리,17,15,32,53.1,46.9
광장,1,30,31,3.2,96.8
날씨,25,6,31,80.6,19.4
도서관,0,30,30,0.0,100.0
스탬프,30,0,30,100.0,0.0
에코,0,30,30,0.0,100.0
후기,20,10,30,66.7,33.3
대표,5,25,30,16.7,83.3
분위기,15,15,30,50.0,50.0
레시피,0,30,30,0.0,100.0
테마,5,25,30,16.7,83.3
황남,30,0,30,100.0,0.0
교촌,30,0,30,100.0,0.0
한복,0,30,30,0.0,100.0
시티,0,30,30,0.0,100.0
예전,1,29,30,3.3,96.7
절리,30,0,30,100.0,0.0
서재,10,19,29,34.5,65.5
생태,4,25,29,13.8,86.2
완주,0,28,28,0.0,100.0
먹거리,0,28,28,0.0,100.0
